Created On,Name,Title,Order Count,Clicks,Order Volume,Commissions Earned,Affiliate Merchant,Short URL,Collection Name,Collection URL,URL
09/05/2025,Tiffany Wendel Stylist,Elsa Corduroy Jacket,-,-,-,-,Moda Operandi,https://go.shopmy.us/p-24648352,Fitted Jacket Baggy Pants Please,https://shopmy.us/collections/2283269,https://www.modaoperandi.com/women/p/jeanerica/elsa-cord-jacket/685810
09/05/2025,Tiffany Wendel Stylist,St Monica Corduroy High Rise Flared Leg Jeans,-,-,-,-,Moda Operandi,https://go.shopmy.us/p-24648354,Fitted Jacket Baggy Pants Please,https://shopmy.us/collections/2283269,https://www.modaoperandi.com/women/p/jeanerica/st-monica/685809
09/05/2025,Tiffany Wendel Stylist,Sw 006 St Monica Dark Vintage 78,-,-,-,-,Jeanerica,https://go.shopmy.us/p-24648357,Fitted Jacket Baggy Pants Please,https://shopmy.us/collections/2283269,https://jeanerica.com/woman/jeans/sw006-st-monica-dark-vintage-78
09/05/2025,Tiffany Wendel Stylist,Kyoto Brown Flock Corduroy,-,1,-,-,Jeanerica,https://go.shopmy.us/p-24648350,Fitted Jacket Baggy Pants Please,https://shopmy.us/collections/2283269,https://jeanerica.com/aw25-womens-selection/kyoto-brown-flock-corduroy
09/05/2025,Tiffany Wendel Stylist,Cashmere Luxe Pocket Cardigan | Dark Umber,-,10,-,-,White & Warren,https://go.shopmy.us/p-24646975,the Cutest Classic,https://shopmy.us/collections/2283160,https://www.whiteandwarren.com/products/cashmere-luxe-pocket-cardigan-dark-umber?variant=43618162409565
09/05/2025,Tiffany Wendel Stylist,Twp New Barrel Jeans,-,4,-,-,Saks Fifth Avenue,https://go.shopmy.us/p-24646894,the Cutest Classic,https://shopmy.us/collections/2283160,https://www.saksfifthavenue.com/product/twp-new-barrel-jeans-0400022464094.html?dwvar_0400022464094_size=27+%284%29&dwvar_0400022464094_color=DARK+WASH&site_refer=CSE_GGLPLA%3AWomens_Clothing%3ATWP&country=US&currency=USD&CSE_CID=G_Saks_PLA_US_Women%27s+Apparel_Contemporary_High+LTV%3AAll+Women%27s+Apparel+Contemporary&gclsrc=aw.ds&gad_source=1&gad_campaignid=20050812365&gbraid=0AAAAADO6JtQdzr3Z5jwiMzUCPnMDhy1pb&gclid=Cj0KCQjw8eTFBhCXARIsAIkiuOwkKZEjyT4QmyZ7apPN9SCuwftGVF4JVamCQppY9OGPx2t06lU7M9UaApg4EALw_wcB
09/05/2025,Tiffany Wendel Stylist,Cashmere Argyle Crewneck | Multi Combo,-,38,-,-,White & Warren,https://go.shopmy.us/p-24646848,the Cutest Classic,https://shopmy.us/collections/2283160,https://www.whiteandwarren.com/products/cashmere-argyle-crewneck-multi-combo?variant=43618171846749
09/05/2025,Tiffany Wendel Stylist,Cashmere Argyle Crewneck,-,3,-,-,White & Warren,https://go.shopmy.us/p-24646697,-,-,https://www.whiteandwarren.com/products/cashmere-argyle-crewneck-multi-combo?variant=43618171846749
09/05/2025,Tiffany Wendel Stylist,1 BG 586 2 DX 8 F 0002 V OOO,-,-,-,-,Prada US,https://go.shopmy.us/p-24645946,-,-,https://www.prada.com/us/en/p/prada-dada-small-nappa-leather-bag/1BG586_2DX8_F0002_V_OOO
09/05/2025,Tiffany Wendel Stylist,1 BG 596 2 DX 8 F 0002 V OOO,-,11,-,-,Prada US,https://go.shopmy.us/p-24645858,the Cutest Classic,https://shopmy.us/collections/2283160,https://www.prada.com/us/en/p/prada-explore-medium-nappa-leather-tote-bag/1BG596_2DX8_F0002_V_OOO
09/05/2025,Tiffany Wendel Stylist,Canvas & Leather Camera Bag,-,2,-,-,Banana Republic,https://go.shopmy.us/p-24645807,-,-,https://bananarepublic.gap.com/browse/product.do?pid=8258910120000&vid=1&searchText=bags
09/05/2025,Tiffany Wendel Stylist,Leather Moc Toe loafer,-,-,-,-,Banana Republic,https://go.shopmy.us/p-24645235,-,-,https://bananarepublic.gap.com/browse/product.do?pid=8258910120000&vid=1&searchText=bags
09/05/2025,Tiffany Wendel Stylist,Nylon Piped Jogger,-,-,-,-,-,https://go.shopmy.us/p-24642309,-,-,https://www.kickpleat.com/products/tibi-nylon-piped-jogger?variant=43540585873442&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=22944241613&gbraid=0AAAAADn1I4zMs-qADCdRhGbB5agkI-9ee&gclid=CjwKCAjwlOrFBhBaEiwAw4bYDaE1hurASkfJOpTH5W_95Xe_t-aDerrE5w2X5HHYZ6iwveEdrszPtBoCXH0QAvD_BwE
09/05/2025,Tiffany Wendel Stylist,Cashmere Neckerchief Grey Heather,-,-,-,-,White & Warren,https://go.shopmy.us/p-24623371,-,-,https://www.whiteandwarren.com/products/cashmere-neckerchief-grey-heather?variant=43618172960861
09/05/2025,Tiffany Wendel Stylist,Cashmere Luxe Button Down Shacket Taupe Combo,-,-,-,-,White & Warren,https://go.shopmy.us/p-24623313,-,-,https://www.whiteandwarren.com/products/cashmere-luxe-button-down-shacket-taupe-combo?variant=43618171322461
09/05/2025,Tiffany Wendel Stylist,Cashmere Crewneck Golden Brown,-,-,-,-,White & Warren,https://go.shopmy.us/p-24623262,-,-,https://www.whiteandwarren.com/products/cashmere-crewneck-golden-brown?variant=43618159099997
09/05/2025,Tiffany Wendel Stylist,Cashmere Luxe Pocket Cardigan Dark Umber,-,-,-,-,White & Warren,https://go.shopmy.us/p-24623215,-,-,https://www.whiteandwarren.com/products/cashmere-luxe-pocket-cardigan-dark-umber?variant=43618162409565
09/05/2025,Tiffany Wendel Stylist,Cashmere Argyle Crewneck Multi Combo,-,-,-,-,White & Warren,https://go.shopmy.us/p-24623123,-,-,https://www.whiteandwarren.com/products/cashmere-argyle-crewneck-multi-combo?variant=43618171846749
09/05/2025,Tiffany Wendel Stylist,Alex Denim,-,-,-,-,Jeanerica,https://go.shopmy.us/p-24622775,-,-,https://jeanerica.com/man/alex-denim
09/05/2025,Tiffany Wendel Stylist,Kyoto Brown Flock Corduroy,-,-,-,-,Jeanerica,https://go.shopmy.us/p-24622292,-,-,https://jeanerica.com/aw25-womens-selection/kyoto-brown-flock-corduroy
09/05/2025,Tiffany Wendel Stylist,Elsa Denim,-,-,-,-,Jeanerica,https://go.shopmy.us/p-24622216,-,-,https://jeanerica.com/aw25-womens-selection/elsa-denim
09/05/2025,Tiffany Wendel Stylist,Kyoto Jeans,-,-,-,-,Jeanerica,https://go.shopmy.us/p-24621995,-,-,https://jeanerica.com/ss25-women-1/kw012-dark-blue-righe
09/05/2025,Tiffany Wendel Stylist,Sw 006 St Monica Dark Vintage 78,-,-,-,-,Jeanerica,https://go.shopmy.us/p-24621943,-,-,https://jeanerica.com/woman/jeans/sw006-st-monica-dark-vintage-78
09/05/2025,Tiffany Wendel Stylist,St Monica Corduroy High Rise Flared Leg Jeans,-,-,-,-,Moda Operandi,https://go.shopmy.us/p-24621519,-,-,https://www.modaoperandi.com/women/p/jeanerica/st-monica/685809
09/05/2025,Tiffany Wendel Stylist,Elsa Corduroy Jacket,-,-,-,-,Moda Operandi,https://go.shopmy.us/p-24621330,-,-,https://www.modaoperandi.com/women/p/jeanerica/elsa-cord-jacket/685810
09/05/2025,Tiffany Wendel Stylist,-,-,-,-,-,Moda Operandi,https://go.shopmy.us/p-24621062,-,-,https://www.modaoperandi.com/women/p/khaite/anders-argyle-cashmere-blend-top/687737?color=burgundy&utm_source=Klaviyo&utm_medium=email&utm_campaign=090125_Monday_BTQ_TheUpload&utm_term=KHAITE&_kx=TrUfyJnb2DWp7KS5iG1ED-QBqGM0HIbLzOCR12lGbZ0.VUUwMR
09/05/2025,Tiffany Wendel Stylist,The Henderson Oversized Cotton Jacket,-,-,-,-,Moda Operandi,https://go.shopmy.us/p-24621031,-,-,https://www.modaoperandi.com/women/p/ruadh/the-henderson-oversized-cotton-jacket/685158
09/05/2025,Tiffany Wendel Stylist,Cropped Leather Trouser,1,2,1495.00,224.25,CO,https://go.shopmy.us/p-24620204,-,-,https://co-collections.com/products/cropped-leather-trouser?_pos=2&_psq=leather+pant&_ss=e&_v=1.0
09/05/2025,Tiffany Wendel Stylist,Track Pant In Silk Charmeuse Moose,-,-,-,-,CO,https://go.shopmy.us/p-24620010,-,-,https://co-collections.com/collections/new-arrivals/products/track-pant-in-silk-charmeuse-moose
09/05/2025,Tiffany Wendel Stylist,-,-,-,-,-,-,https://go.shopmy.us/p-24619761,-,-,https://go.shopmy.us/p-24619682
09/05/2025,Tiffany Wendel Stylist,Batwing Crewneck Mossy,-,-,-,-,CO,https://go.shopmy.us/p-24619682,-,-,https://co-collections.com/collections/knitwear/products/batwing-crewneck-mossy
09/05/2025,Tiffany Wendel Stylist,Cableknit Sweater In Wool Blend Yarn ,-,-,-,-,CO,https://go.shopmy.us/p-24619623,-,-,https://co-collections.com/collections/knitwear/products/cableknit-sweater-in-wool-blend-yarn-ivory
09/04/2025,Tiffany Wendel Stylist,Lightweight Cashmere Short-Sleeve Sweater Polo,-,3,-,-,Banana Republic,https://go.shopmy.us/p-24587949,-,-,https://bananarepublic.gap.com/browse/product.do?pid=543409182&vid=1&pcid=1196034&cid=1196041
09/04/2025,Tiffany Wendel Stylist,Bootcut Everywhere Ponte Pant,-,-,-,-,Banana Republic,https://go.shopmy.us/p-24584464,-,-,https://bananarepublic.gap.com/browse/product.do?pid=808694002&vid=1&pcid=1196034&cid=1196041
09/04/2025,Tiffany Wendel Stylist,-,-,-,-,-,-,https://go.shopmy.us/p-24584440,-,-,https://rstyle.me/+nqTp7SFcWz8PeoENMppGSA
09/04/2025,Tiffany Wendel Stylist,Pierced Screen Resilience Medium Medallion In Yellow Gold And Pink Opal And An Annex Link,-,2,-,-,-,https://go.shopmy.us/p-24570464,the Cutest Classic,https://shopmy.us/collections/2283160,https://foundrae.com/products/pierced-screen-resilience-medium-medallion-in-yellow-gold-and-pink-opal-and-an-annex-link
09/04/2025,Tiffany Wendel Stylist,Cartella Pant,-,48,-,-,Rachel Comey,https://go.shopmy.us/p-24565816,the Cutest Classic,https://shopmy.us/collections/2283160,https://rachelcomey.com/products/cartella-pant-raw-mission-denim
09/04/2025,Tiffany Wendel Stylist,Altrezzo Bag,-,-,-,-,Rachel Comey,https://go.shopmy.us/p-24565709,-,-,https://rachelcomey.com/products/altrezzo-bag-pony-hair
09/04/2025,Tiffany Wendel Stylist,Lerno Pant Odisto Denim,-,-,-,-,Rachel Comey,https://go.shopmy.us/p-24565667,-,-,https://rachelcomey.com/products/lerno-pant-odisto-denim
09/04/2025,Tiffany Wendel Stylist,Lancaster Pant Pick Stitch,-,-,-,-,Rachel Comey,https://go.shopmy.us/p-24565603,-,-,https://rachelcomey.com/products/lancaster-pant-pick-stitch
09/04/2025,Tiffany Wendel Stylist,Bolt Blazer Pick Stitch,-,-,-,-,Rachel Comey,https://go.shopmy.us/p-24565582,-,-,https://rachelcomey.com/products/bolt-blazer-pick-stitch
09/04/2025,Tiffany Wendel Stylist,Billi Sweatshirt,-,45,-,-,Rachel Comey,https://go.shopmy.us/p-24565239,the Cutest Classic,https://shopmy.us/collections/2283160,https://rachelcomey.com/products/billi-sweatshirt-fleece-terry
09/04/2025,Tiffany Wendel Stylist,Twp New Barrel Jeans,-,-,-,-,Saks Fifth Avenue,https://go.shopmy.us/p-24565023,-,-,https://www.saksfifthavenue.com/product/twp-new-barrel-jeans-0400022464094.html?dwvar_0400022464094_size=27+%284%29&dwvar_0400022464094_color=DARK+WASH&site_refer=CSE_GGLPLA%3AWomens_Clothing%3ATWP&country=US&currency=USD&CSE_CID=G_Saks_PLA_US_Women%27s+Apparel_Contemporary_High+LTV%3AAll+Women%27s+Apparel+Contemporary&gclsrc=aw.ds&gad_source=1&gad_campaignid=20050812365&gbraid=0AAAAADO6JtQdzr3Z5jwiMzUCPnMDhy1pb&gclid=Cj0KCQjw8eTFBhCXARIsAIkiuOwkKZEjyT4QmyZ7apPN9SCuwftGVF4JVamCQppY9OGPx2t06lU7M9UaApg4EALw_wcB
09/04/2025,Tiffany Wendel Stylist,Hurst Pant Chevron Slub Wool,-,-,-,-,Rachel Comey,https://go.shopmy.us/p-24564990,-,-,https://rachelcomey.com/products/hurst-pant-chevron-slub-wool
09/03/2025,Tiffany Wendel Stylist,Urca Hat Black,-,-,-,-,-,https://go.shopmy.us/p-24509302,-,-,https://www.antikbatik.com/en-us/products/urca-hat-black?variant=48971898159381&gad_source=4&gad_campaignid=17418133387&gbraid=0AAAAADs5SRdysv4mKMbdvyQINVYNwIlMZ&gclid=EAIaIQobChMI25CM2fm9jwMViCNECB1HviB1EAQYCyABEgJcrPD_BwE
09/03/2025,Tiffany Wendel Stylist,Pleated Skirts,1,3,395.00,59.25,Jenni Kayne,https://go.shopmy.us/p-24507166,-,-,https://www.jennikayne.com/products/pleated-skirt-slate?variant=42741074985133&utm_source=google&utm_medium=cpc&utm_campaign=22651795852&utm_content=180648078877&utm_term=&utm_adid&tw_source=google&tw_adid=756717482110&tw_campaign=22651795852&tw_kwdid=pla-297616372023&gad_source=1&gad_campaignid=22651795852&gbraid=0AAAAADhJxZH-3FnNt4qgRHmYNiUXjsss_&gclid=Cj0KCQjwzt_FBhCEARIsAJGFWVmhdR027QEf3Q1XVo9i79ZBco6VLWIowglqAiJeglLHvvNkSzVf3akaAih1EALw_wcB
09/03/2025,Tiffany Wendel Stylist,Cle 5 Ikl ER 2 C Zvva 6 Cxw Q,-,-,-,-,-,https://go.shopmy.us/p-24507146,-,-,https://rstyle.me/+cle_-5IklER2cZvva6CxwQ
09/03/2025,Tiffany Wendel Stylist,Bella Skirt 41,1,1,138.60,20.79,Natalie Martin Collection,https://go.shopmy.us/p-24499131,-,-,https://nataliemartin.com/products/bella-skirt-41?_pos=2&_sid=94b3a37a2&_ss=r
09/03/2025,Tiffany Wendel Stylist,Belted Jane Heritage Broken In Leather Black,-,-,-,-,Parker Thatch,https://go.shopmy.us/p-24496351,-,-,https://parkerthatch.com/products/belted-jane-heritage-broken-in-leather-black?variant=45281965736111
09/03/2025,Tiffany Wendel Stylist,Belted Jane Heritage Broken In Leather Tan,-,-,-,-,Parker Thatch,https://go.shopmy.us/p-24496326,-,-,https://parkerthatch.com/products/belted-jane-heritage-broken-in-leather-tan?variant=45281988772015
